source	path	line	matched_categories	excerpt
relico-lean	Relico/DTR/GlobalMultiStorePayload.lean	20	trace-or-step	A finite ordered collection of payload-aware actors plus known-rebec topology. No global transition relation is introduced here. -/ structure GlobalMultiStorePayloadModel where
relico-lean	Relico/DTR/GlobalMultiStorePayloadDispatch.lean	2	trace-or-step	/- Actor-indexed lifting of payload-aware DTR dispatch into a global actor state. The actor is an explicit relation parameter. Dispatch installs that actor's
relico-lean	Relico/DTR/GlobalMultiStorePayloadDispatch.lean	4	trace-or-step	Actor-indexed lifting of payload-aware DTR dispatch into a global actor state. The actor is an explicit relation parameter. Dispatch installs that actor's local result and synchronizes global metric time with the selected message. No autonomous global actor-selection policy is introduced.
relico-lean	Relico/DTR/GlobalMultiStorePayloadDispatch.lean	6	scheduler	The actor is an explicit relation parameter. Dispatch installs that actor's local result and synchronizes global metric time with the selected message. No autonomous global actor-selection policy is introduced. -/ import Relico.DTR.GlobalMultiStorePayload
relico-lean	Relico/DTR/GlobalMultiStorePayloadOneStep.lean	109	trace-or-step	This is the disjoint union of successful external-send frame execution and explicit actor-indexed dispatch. It does not choose an actor autonomously and does not define a separate time-advance transition. -/
relico-lean	Relico/DTR/GlobalMultiStorePayloadOneStep.lean	110	trace-or-step	This is the disjoint union of successful external-send frame execution and explicit actor-indexed dispatch. It does not choose an actor autonomously and does not define a separate time-advance transition. -/ inductive Step
relico-lean	Relico/DTR/GlobalMultiStorePayloadOneStep.lean	143	trace-or-step	after | dispatch {actorName : ActorName}
relico-lean	Relico/DTR/GlobalMultiStorePayloadOneStep.lean	206	trace-or-step	⟨_, _, hFrame⟩ | dispatch hDispatch => exact Or.inr
relico-lean	Relico/DTR/GlobalMultiStorePayloadOneStep.lean	231	trace-or-step	exact Step.dispatch hDispatch
relico-lean	Relico/DTR/GlobalMultiStorePayloadFiniteExecution.lean	25	trace-or-step	External-send execution advances to the history returned by the successful frame result. Dispatch preserves the current history. -/ inductive Step
relico-lean	Relico/DTR/GlobalMultiStorePayloadFiniteExecution.lean	62	trace-or-step	} | dispatch {before : Configuration}
relico-lean	Relico/DTR/GlobalMultiStorePayloadFiniteExecution.lean	131	trace-or-step	/-- A source configuration step projects to the published E4C source one-step relation at its current history. -/
relico-lean	Relico/DTR/GlobalMultiStorePayloadFiniteExecution.lean	157	trace-or-step	hFrame | dispatch hDispatch => exact DTR.GlobalMultiStorePayloadOneStep.Step.dispatch
relico-lean	Relico/DTR/GlobalMultiStorePayloadFiniteExecution.lean	159	trace-or-step	| dispatch hDispatch => exact DTR.GlobalMultiStorePayloadOneStep.Step.dispatch hDispatch
relico-lean	Relico/DTR/GlobalMultiStorePayloadFiniteExecution.lean	163	trace-or-step	/-- A published E4C source one-step transition lifts to a source configuration step with the correct next history. -/
relico-lean	Relico/DTR/GlobalMultiStorePayloadFiniteExecution.lean	227	trace-or-step	before.history }, Step.dispatch hDispatch, rfl
relico-lean	Relico/DTR/MessageServerPriority.lean	7	message-server-priority	namespace Relico namespace DTR namespace MessageServerPriority /--
relico-lean	Relico/DTR/MessageServerPriority.lean	10	message-server-priority|priority	/-- The local-priority preorder used for DTR message-server declarations. The ordering follows the supported legacy policy:
relico-lean	Relico/DTR/MessageServerPriority.lean	14	priority	The ordering follows the supported legacy policy: - smaller explicit numbers have higher priority; - every explicit priority precedes an unannotated declaration; - two unannotated declarations have equal priority.
relico-lean	Relico/DTR/MessageServerPriority.lean	15	priority	- smaller explicit numbers have higher priority; - every explicit priority precedes an unannotated declaration; - two unannotated declarations have equal priority.
relico-lean	Relico/DTR/MessageServerPriority.lean	16	priority	- smaller explicit numbers have higher priority; - every explicit priority precedes an unannotated declaration; - two unannotated declarations have equal priority. Declaration order is handled separately by the stable normalization
relico-lean	Relico/DTR/MessageServerPriority.lean	24	priority	(left right : DTR.MessageServer) : Prop := match left.priority, right.priority with | some leftPriority,
relico-lean	Relico/DTR/MessageServerPriority.lean	52	priority	unfold PrecedesOrEqual cases left.priority <;> cases right.priority <;> infer_instance
relico-lean	Relico/DTR/MessageServerPriority.lean	53	priority	cases left.priority <;> cases right.priority <;> infer_instance
relico-lean	Relico/DTR/MessageServerPriority.lean	63	priority	cases hPriority : messageServer.priority <;> simp [ PrecedesOrEqual,
relico-lean	Relico/DTR/MessageServerPriority.lean	72	priority	{explicitServer unannotatedServer : DTR.MessageServer} {priority : Nat} (hExplicit : explicitServer.priority =
relico-lean	Relico/DTR/MessageServerPriority.lean	74	priority	{priority : Nat} (hExplicit : explicitServer.priority = some priority) (hUnannotated :
relico-lean	Relico/DTR/MessageServerPriority.lean	75	priority	(hExplicit : explicitServer.priority = some priority) (hUnannotated : unannotatedServer.priority =
relico-lean	Relico/DTR/MessageServerPriority.lean	77	priority	some priority) (hUnannotated : unannotatedServer.priority = none) : PrecedesOrEqual
relico-lean	Relico/DTR/MessageServerPriority.lean	93	priority	{leftPriority rightPriority : Nat} (hLeft : left.priority = some leftPriority) (hRight :
relico-lean	Relico/DTR/MessageServerPriority.lean	96	priority	some leftPriority) (hRight : right.priority = some rightPriority) (hPriority :
relico-lean	Relico/DTR/MessageServerPriority.lean	113	priority	/-- Insert one declaration into an already priority-normalized list. Insertion occurs before the first declaration of equal or lower
relico-lean	Relico/DTR/MessageServerPriority.lean	116	priority	Insertion occurs before the first declaration of equal or lower priority. Because `normalize` processes the original list from right to left, this preserves source declaration order among equal-priority servers.
relico-lean	Relico/DTR/MessageServerPriority.lean	117	priority	Insertion occurs before the first declaration of equal or lower priority. Because `normalize` processes the original list from right to left, this preserves source declaration order among equal-priority servers. -/
relico-lean	Relico/DTR/MessageServerPriority.lean	144	message-server-priority|priority	/-- Stable local-priority normalization of a message-server declaration list.
relico-lean	Relico/DTR/MessageServerPriority.lean	148	scheduler	The input list remains the source declaration order. This function produces the scheduling and generated-reaction order. -/ def normalize :
relico-lean	Relico/DTR/MessageServerPriority.lean	293	priority	/-- Priority insertion is a permutation of adding the declaration at the front of the original list. -/
relico-lean	Relico/DTR/MessageServerPriority.lean	338	priority	/-- Priority normalization is a permutation of the source declaration list. -/
relico-lean	Relico/DTR/MessageServerPriority.lean	365	priority	/-- Stable priority normalization preserves uniqueness after mapping each message server through an arbitrary projection. -/
relico-lean	Relico/DTR/MessageServerPriority.lean	389	priority	/-- Priority normalization neither introduces nor removes message-server names. -/
relico-lean	Relico/DTR/MessageServerPriority.lean	450	message-server-priority	hName⟩ end MessageServerPriority end DTR end Relico
relico-lean	Relico/DTR/MultiStorePayloadPriority.lean	7	message-server-priority	namespace Relico namespace DTR namespace MultiStorePayloadMessageServerPriority /--
relico-lean	Relico/DTR/MultiStorePayloadPriority.lean	10	message-server-priority|priority	/-- Local priority order for payload-aware message servers. Smaller explicit numbers have higher priority. Every explicit priority
relico-lean	Relico/DTR/MultiStorePayloadPriority.lean	12	priority	Local priority order for payload-aware message servers. Smaller explicit numbers have higher priority. Every explicit priority precedes `none`. Equal priorities are still representable in the raw AST, but Option-C correctness theorems will require
relico-lean	Relico/DTR/MultiStorePayloadPriority.lean	13	priority	Smaller explicit numbers have higher priority. Every explicit priority precedes `none`. Equal priorities are still representable in the raw AST, but Option-C correctness theorems will require `MultiStorePayloadMessageServers.PrioritiesDistinct`.
relico-lean	Relico/DTR/MultiStorePayloadPriority.lean	21	priority	DTR.MultiStorePayloadMessageServer) : Prop := match left.priority, right.priority with | some leftPriority,
relico-lean	Relico/DTR/MultiStorePayloadPriority.lean	50	priority	unfold PrecedesOrEqual cases left.priority <;> cases right.priority <;> infer_instance
relico-lean	Relico/DTR/MultiStorePayloadPriority.lean	51	priority	cases left.priority <;> cases right.priority <;> infer_instance
relico-lean	Relico/DTR/MultiStorePayloadPriority.lean	55	priority	/-- Insert one declaration into a priority-normalized list. -/ def insert
relico-lean	Relico/DTR/MultiStorePayloadPriority.lean	82	message-server-priority|priority	/-- Stable local-priority normalization for payload-aware message servers. -/ def normalize :
