record_type	record_id	final_benchmark_id	mapping_status	matched_categories	record_json
benchmark	bound-payload--priority-selection--positive	bound-payload--priority-selection--positive	planned	priority	"{""benchmark_id"":""bound-payload--priority-selection--positive"",""evidence_modes"":""source-plus-formal-witness"",""implementation_status"":""planned"",""module_count"":""1"",""obligation_count"":""20"",""polarity"":""positive"",""primary_capability"":""priority-selection"",""required_stages"":""source,rmc,parser-json,decoded-dtr-ast,formal-witness,translated-lf-ast,lf-source,lfc"",""semantic_layer"":""bound-payload"",""source_path"":""tests/benchmarks/bound-payload--priority-selection--positive/source/model.rebeca"",""source_required"":""yes""}"
benchmark	core--priority-selection--positive	core--priority-selection--positive	planned	priority	"{""benchmark_id"":""core--priority-selection--positive"",""evidence_modes"":""source-plus-formal-witness"",""implementation_status"":""planned"",""module_count"":""3"",""obligation_count"":""54"",""polarity"":""positive"",""primary_capability"":""priority-selection"",""required_stages"":""source,rmc,parser-json,decoded-dtr-ast,formal-witness,translated-lf-ast,lf-source,lfc"",""semantic_layer"":""core"",""source_path"":""tests/benchmarks/core--priority-selection--positive/source/model.rebeca"",""source_required"":""yes""}"
benchmark	finite-store--priority-selection--positive	finite-store--priority-selection--positive	planned	priority	"{""benchmark_id"":""finite-store--priority-selection--positive"",""evidence_modes"":""source-plus-runtime-observation"",""implementation_status"":""planned"",""module_count"":""1"",""obligation_count"":""9"",""polarity"":""positive"",""primary_capability"":""priority-selection"",""required_stages"":""source,rmc,parser-json,decoded-dtr-ast,formal-witness,translated-lf-ast,lf-source,lfc,runtime"",""semantic_layer"":""finite-store"",""source_path"":""tests/benchmarks/finite-store--priority-selection--positive/source/model.rebeca"",""source_required"":""yes""}"
benchmark	global-multi-actor-payload--priority-selection--negative	global-multi-actor-payload--priority-selection--negative	planned	priority	"{""benchmark_id"":""global-multi-actor-payload--priority-selection--negative"",""evidence_modes"":""expected-boundary-or-rejection"",""implementation_status"":""planned"",""module_count"":""1"",""obligation_count"":""10"",""polarity"":""negative"",""primary_capability"":""priority-selection"",""required_stages"":""source,rmc,parser-json,decoded-dtr-ast,expected-boundary-stage,diagnostics"",""semantic_layer"":""global-multi-actor-payload"",""source_path"":""tests/benchmarks/global-multi-actor-payload--priority-selection--negative/source/model.rebeca"",""source_required"":""yes""}"
benchmark	multi-store--priority-selection--negative	multi-store--priority-selection--negative	planned	priority	"{""benchmark_id"":""multi-store--priority-selection--negative"",""evidence_modes"":""expected-boundary-or-rejection"",""implementation_status"":""planned"",""module_count"":""2"",""obligation_count"":""37"",""polarity"":""negative"",""primary_capability"":""priority-selection"",""required_stages"":""source,rmc,parser-json,decoded-dtr-ast,expected-boundary-stage,diagnostics"",""semantic_layer"":""multi-store"",""source_path"":""tests/benchmarks/multi-store--priority-selection--negative/source/model.rebeca"",""source_required"":""yes""}"
benchmark	multi-store--priority-selection--positive	multi-store--priority-selection--positive	planned	priority	"{""benchmark_id"":""multi-store--priority-selection--positive"",""evidence_modes"":""direct-source-translation,source-plus-runtime-observation"",""implementation_status"":""planned"",""module_count"":""5"",""obligation_count"":""35"",""polarity"":""positive"",""primary_capability"":""priority-selection"",""required_stages"":""source,rmc,parser-json,decoded-dtr-ast,formal-witness,translated-lf-ast,lf-source,lfc,runtime"",""semantic_layer"":""multi-store"",""source_path"":""tests/benchmarks/multi-store--priority-selection--positive/source/model.rebeca"",""source_required"":""yes""}"
benchmark	multi-store-payload--priority-selection--negative	multi-store-payload--priority-selection--negative	planned	priority	"{""benchmark_id"":""multi-store-payload--priority-selection--negative"",""evidence_modes"":""expected-boundary-or-rejection"",""implementation_status"":""planned"",""module_count"":""1"",""obligation_count"":""17"",""polarity"":""negative"",""primary_capability"":""priority-selection"",""required_stages"":""source,rmc,parser-json,decoded-dtr-ast,expected-boundary-stage,diagnostics"",""semantic_layer"":""multi-store-payload"",""source_path"":""tests/benchmarks/multi-store-payload--priority-selection--negative/source/model.rebeca"",""source_required"":""yes""}"
benchmark	multi-store-payload--priority-selection--positive	multi-store-payload--priority-selection--positive	planned	priority	"{""benchmark_id"":""multi-store-payload--priority-selection--positive"",""evidence_modes"":""source-capability,source-plus-formal-witness,source-plus-runtime-observation"",""implementation_status"":""planned"",""module_count"":""3"",""obligation_count"":""23"",""polarity"":""positive"",""primary_capability"":""priority-selection"",""required_stages"":""source,rmc,parser-json,decoded-dtr-ast,formal-witness,translated-lf-ast,lf-source,lfc,runtime"",""semantic_layer"":""multi-store-payload"",""source_path"":""tests/benchmarks/multi-store-payload--priority-selection--positive/source/model.rebeca"",""source_required"":""yes""}"
benchmark	payload--priority-selection--positive	payload--priority-selection--positive	planned	priority	"{""benchmark_id"":""payload--priority-selection--positive"",""evidence_modes"":""source-plus-formal-witness"",""implementation_status"":""planned"",""module_count"":""2"",""obligation_count"":""28"",""polarity"":""positive"",""primary_capability"":""priority-selection"",""required_stages"":""source,rmc,parser-json,decoded-dtr-ast,formal-witness,translated-lf-ast,lf-source,lfc"",""semantic_layer"":""payload"",""source_path"":""tests/benchmarks/payload--priority-selection--positive/source/model.rebeca"",""source_required"":""yes""}"
obligation	BoundPayloadFoundation:0001	bound-payload--priority-selection--positive	accepted	priority	"{""classification"":""test_fixture_or_helper"",""evidence_role"":""source-capability"",""final_benchmark_id"":""bound-payload--priority-selection--positive"",""kind"":""def"",""line_number"":""8"",""mapping_status"":""accepted"",""name_or_expression"":""boundPayloadParameter"",""obligation_id"":""BoundPayloadFoundation:0001"",""original_benchmark_candidate"":""test-bound-payload-foundation"",""test_file"":""Relico/Tests/BoundPayloadFoundation.lean""}"
