rank	path	line_start	line_end	kind	qualified_name	score	score_reasons	first_line
1	Relico/Translation/GlobalMultiStorePayloadBasic.lean	15	34	def	Relico.Translation.GlobalMultiStorePayloadBasic.compileGlobalMultiStorePayloadActors	27	executable-declaration,translation-name,global-payload-type,payload-type,actor-name,source-reference,target-reference	def compileGlobalMultiStorePayloadActors :
2	Relico/Translation/MultiStorePayloadBasic.lean	174	209	def	Relico.Translation.MultiStorePayloadBasic.compileMultiStorePayloadReactor	24	executable-declaration,translation-name,payload-type,actor-name,source-reference,target-reference,structural-map,ordering-related	def compileMultiStorePayloadReactor
3	Relico/Translation/GlobalMultiStorePayloadBasic.lean	35	47	def	Relico.Translation.GlobalMultiStorePayloadBasic.translateGlobalMultiStorePayloadCore	23	executable-declaration,translation-name,global-payload-type,payload-type,source-reference,target-reference	def translateGlobalMultiStorePayloadCore
4	Relico/Translation/GlobalMultiStorePayloadExternalSend.lean	18	51	def	Relico.Translation.GlobalMultiStorePayloadExternalSend.translateGlobalMultiStorePayloadExternalSendOccurrence	23	executable-declaration,translation-name,global-payload-type,payload-type,source-reference,target-reference	def translateGlobalMultiStorePayloadExternalSendOccurrence
5	Relico/Translation/GlobalMultiStorePayloadExternalSendFrame.lean	10	23	def	Relico.Translation.GlobalMultiStorePayloadExternalSendFrame.translateGlobalMultiStorePayloadExternalSendFrame	23	executable-declaration,translation-name,global-payload-type,payload-type,source-reference,target-reference	def translateGlobalMultiStorePayloadExternalSendFrame
6	Relico/Translation/GlobalMultiStorePayloadExternalSendStatement.lean	16	38	def	Relico.Translation.GlobalMultiStorePayloadExternalSendStatement.translateGlobalMultiStorePayloadExternalSendStatement	23	executable-declaration,translation-name,global-payload-type,payload-type,source-reference,target-reference	def translateGlobalMultiStorePayloadExternalSendStatement
7	Relico/Translation/MultiStorePayloadBasic.lean	161	173	def	Relico.Translation.MultiStorePayloadBasic.compileMultiStorePayloadMessageReactions	20	executable-declaration,translation-name,payload-type,source-reference,target-reference,structural-map,ordering-related	def compileMultiStorePayloadMessageReactions
8	Relico/Translation/MultiStorePayloadBasic.lean	13	28	def	Relico.Translation.MultiStorePayloadBasic.compileMultiStorePayloadExpr	18	executable-declaration,translation-name,payload-type,source-reference,target-reference,ordering-related	def compileMultiStorePayloadExpr :
9	Relico/Translation/MultiStorePayloadBasic.lean	29	38	def	Relico.Translation.MultiStorePayloadBasic.compileMultiStorePayloadExprs	18	executable-declaration,translation-name,payload-type,source-reference,target-reference,structural-map	def compileMultiStorePayloadExprs
10	Relico/Translation/MultiStorePayloadBasic.lean	39	67	def	Relico.Translation.MultiStorePayloadBasic.compileMultiStorePayloadStmt	18	executable-declaration,translation-name,payload-type,source-reference,target-reference,ordering-related	def compileMultiStorePayloadStmt :
11	Relico/Translation/MultiStorePayloadBasic.lean	68	78	def	Relico.Translation.MultiStorePayloadBasic.compileMultiStorePayloadBody	18	executable-declaration,translation-name,payload-type,source-reference,target-reference,structural-map	def compileMultiStorePayloadBody
12	Relico/Translation/MultiStorePayloadBasic.lean	94	119	def	Relico.Translation.MultiStorePayloadBasic.compileMultiStorePayloadStartupReaction	18	executable-declaration,translation-name,payload-type,source-reference,target-reference,ordering-related	def compileMultiStorePayloadStartupReaction
13	Relico/Translation/MultiStorePayloadBasic.lean	120	146	def	Relico.Translation.MultiStorePayloadBasic.compileMultiStorePayloadReaction	18	executable-declaration,translation-name,payload-type,source-reference,target-reference,ordering-related	def compileMultiStorePayloadReaction
14	Relico/Translation/Basic.lean	47	56	def	Relico.Translation.Basic.compileReactor	17	executable-declaration,translation-name,actor-name,source-reference,target-reference	def compileReactor
15	Relico/Translation/Basic.lean	57	62	def	Relico.Translation.Basic.compileReactorInstance	17	executable-declaration,translation-name,actor-name,source-reference,target-reference	def compileReactorInstance
16	Relico/Translation/MultiStoreBasic.lean	71	79	def	Relico.Translation.MultiStoreBasic.compileMessageReactions	17	executable-declaration,translation-name,source-reference,target-reference,structural-map,ordering-related	def compileMessageReactions
17	Relico/Translation/MultiStoreBasic.lean	348	376	def	Relico.Translation.MultiStoreBasic.compileMultiStoreReactor	17	executable-declaration,translation-name,actor-name,source-reference,target-reference	def compileMultiStoreReactor
18	Relico/Translation/StoreBasic.lean	71	113	def	Relico.Translation.StoreBasic.compileStoreReactor	17	executable-declaration,translation-name,actor-name,source-reference,target-reference	def compileStoreReactor
19	Relico/Translation/MultiStorePayloadBasic.lean	79	93	def	Relico.Translation.MultiStorePayloadBasic.compileMultiStorePayloadAction	16	executable-declaration,translation-name,payload-type,source-reference,target-reference	def compileMultiStorePayloadAction
20	Relico/Translation/MultiStorePayloadBasic.lean	210	223	def	Relico.Translation.MultiStorePayloadBasic.translateMultiStorePayloadCore	16	executable-declaration,translation-name,payload-type,source-reference,target-reference	def translateMultiStorePayloadCore
21	Relico/Translation/MultiStorePayloadCppBackend.lean	16	27	def	Relico.Translation.MultiStorePayloadCppBackend.translateMultiStorePayloadToCppSource	16	executable-declaration,translation-name,payload-type,source-reference,target-reference	def translateMultiStorePayloadToCppSource
22	Relico/Translation/Basic.lean	28	32	def	Relico.Translation.Basic.compileBody	15	executable-declaration,translation-name,source-reference,target-reference,structural-map	def compileBody
23	Relico/Translation/BoundPayloadBasic.lean	33	51	def	Relico.Translation.BoundPayloadBasic.compileBoundPayloadBody	15	executable-declaration,translation-name,source-reference,target-reference,ordering-related	def compileBoundPayloadBody :
24	Relico/Translation/BoundPayloadBasic.lean	52	71	def	Relico.Translation.BoundPayloadBasic.compilePayloadMessageServer	15	executable-declaration,translation-name,source-reference,target-reference,ordering-related	def compilePayloadMessageServer
25	Relico/Translation/MultiStoreBasic.lean	57	70	def	Relico.Translation.MultiStoreBasic.compileLogicalActions	15	executable-declaration,translation-name,source-reference,structural-map,ordering-related	def compileLogicalActions
26	Relico/Translation/MultiStoreBasic.lean	327	347	def	Relico.Translation.MultiStoreBasic.compileMultiStoreStartupReaction	15	executable-declaration,translation-name,source-reference,target-reference,ordering-related	def compileMultiStoreStartupReaction
27	Relico/Translation/PayloadBasic.lean	30	36	def	Relico.Translation.PayloadBasic.compilePayloadBody	15	executable-declaration,translation-name,source-reference,target-reference,structural-map	def compilePayloadBody
28	Relico/Translation/StoreBasic.lean	14	26	def	Relico.Translation.StoreBasic.compileStateVariableDecl	15	executable-declaration,translation-name,source-reference,target-reference,ordering-related	def compileStateVariableDecl
29	Relico/Translation/StoreBasic.lean	27	33	def	Relico.Translation.StoreBasic.compileStateVariableDecls	15	executable-declaration,translation-name,source-reference,target-reference,structural-map	def compileStateVariableDecls
30	Relico/Translation/Basic.lean	14	20	def	Relico.Translation.Basic.compileExpr	13	executable-declaration,translation-name,source-reference,target-reference	def compileExpr :
31	Relico/Translation/Basic.lean	21	27	def	Relico.Translation.Basic.compileStmt	13	executable-declaration,translation-name,source-reference,target-reference	def compileStmt :
32	Relico/Translation/Basic.lean	33	39	def	Relico.Translation.Basic.compileStartupReaction	13	executable-declaration,translation-name,source-reference,target-reference	def compileStartupReaction
33	Relico/Translation/Basic.lean	40	46	def	Relico.Translation.Basic.compileMessageReaction	13	executable-declaration,translation-name,source-reference,target-reference	def compileMessageReaction
34	Relico/Translation/Basic.lean	63	68	def	Relico.Translation.Basic.translateCore	13	executable-declaration,translation-name,source-reference,target-reference	def translateCore
35	Relico/Translation/Basic.lean	69	74	def	Relico.Translation.Basic.translate	13	executable-declaration,translation-name,source-reference,target-reference	def translate
36	Relico/Translation/BoundPayloadBasic.lean	14	32	def	Relico.Translation.BoundPayloadBasic.compileBoundPayloadStmt	13	executable-declaration,translation-name,source-reference,target-reference	def compileBoundPayloadStmt :
37	Relico/Translation/CppBackend.lean	16	26	def	Relico.Translation.CppBackend.translateToCppSource	13	executable-declaration,translation-name,source-reference,target-reference	def translateToCppSource
38	Relico/Translation/MultiStoreBasic.lean	377	392	def	Relico.Translation.MultiStoreBasic.translateMultiStoreCore	13	executable-declaration,translation-name,source-reference,target-reference	def translateMultiStoreCore
39	Relico/Translation/MultiStoreBasic.lean	393	402	def	Relico.Translation.MultiStoreBasic.translateMultiStore	13	executable-declaration,translation-name,source-reference,target-reference	def translateMultiStore
