source	path	line	file_type	semantic_level	observed_syntax_forms	source_line	context
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/corerebeca/CoreRebecaCompleteCompilerFacade.java	103	.java	unresolved-priority		"public static final String PRIORITY_LABEL = ""priority"";"	"@Scope(ConfigurableBeanFactory.SCOPE_PROTOTYPE) public class CoreRebecaCompleteCompilerFacade extends AbstractCompilerFacade { public static final String PRIORITY_LABEL = ""priority""; public static final String GLOBAL_PRIORITY_LABEL = ""globalPriority""; public CoreRebecaCompleteCompilerFacade(@Qualifier(""CORE_REBECA"") TypeSystemInitializer typeSystemInitializer, @Qualifier(""CORE_REBECA"") SymbolTableInitializer symbolTableInitializer) {"
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/corerebeca/CoreRebecaCompleteCompilerFacade.java	624	.java	unresolved-priority		"CodeCompilationException cce = new CodeCompilationException(""Core Rebeca does not support priority"","	"if (annotations.isEmpty()) return; for (Annotation annotation : annotations) { if (annotation.getIdentifier().equals(PRIORITY_LABEL) || annotation.getIdentifier().equals(GLOBAL_PRIORITY_LABEL)) { CodeCompilationException cce = new CodeCompilationException(""Core Rebeca does not support priority"", annotation.getLineNumber(), annotation.getCharacter()); exceptionContainer.addException(cce); } }"
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaComplete.tokens	5	.tokens	unresolved-priority		PRIORITIES=5	MODE=1 PHYSICALCLASS=2 INV=3 GUARD=4 PRIORITIES=5 PRIME=6 AFTER=7 DEADLINE=8 MONKEYS_AT=9
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaComplete.tokens	104	.tokens	unresolved-priority		'priorities'=5	'mode'=1 'physicalclass'=2 'inv'=3 'guard'=4 'priorities'=5 '\''=6 'after'=7 'deadline'=8 '@'=9
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaCompleteLexer.java	22	.java	unresolved-priority		MODE=1, PHYSICALCLASS=2, INV=3, GUARD=4, PRIORITIES=5, PRIME=6, AFTER=7,	protected static final DFA[] _decisionToDFA; protected static final PredictionContextCache _sharedContextCache = new PredictionContextCache(); public static final int MODE=1, PHYSICALCLASS=2, INV=3, GUARD=4, PRIORITIES=5, PRIME=6, AFTER=7, DEADLINE=8, MONKEYS_AT=9, BREAK=10, CASE=11, CONTINUE=12, DEFAULT=13, ELSE=14, FOR=15, GOTO=16, IF=17, RETURN=18, SWITCH=19, WHILE=20, ENV=21, FEATUREVAR=22, IMPORT=23, PACKAGE=24, PRIVATE=25, PROTECTED=26, PUBLIC=27, RECORD=28, REACTIVECLASS=29, INTERFACE=30, ABSTRACT=31, EXTENDS=32, IMPLEMENTS=33,
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaCompleteLexer.java	48	.java	local-message-server		"""MODE"", ""PHYSICALCLASS"", ""INV"", ""GUARD"", ""PRIORITIES"", ""PRIME"", ""AFTER"","	"}; private static String[] makeRuleNames() { return new String[] { ""MODE"", ""PHYSICALCLASS"", ""INV"", ""GUARD"", ""PRIORITIES"", ""PRIME"", ""AFTER"", ""DEADLINE"", ""MONKEYS_AT"", ""BREAK"", ""CASE"", ""CONTINUE"", ""DEFAULT"", ""ELSE"", ""FOR"", ""GOTO"", ""IF"", ""RETURN"", ""SWITCH"", ""WHILE"", ""ENV"", ""FEATUREVAR"", ""IMPORT"", ""PACKAGE"", ""PRIVATE"", ""PROTECTED"", ""PUBLIC"", ""RECORD"", ""REACTIVECLASS"", ""INTERFACE"", ""ABSTRACT"", ""EXTENDS"", ""IMPLEMENTS"", ""MSGSRV"", ""MAIN"", ""STATEVARS"","
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaCompleteLexer.java	70	.java	unresolved-priority		"null, ""'mode'"", ""'physicalclass'"", ""'inv'"", ""'guard'"", ""'priorities'"","	"public static final String[] ruleNames = makeRuleNames(); private static String[] makeLiteralNames() { return new String[] { null, ""'mode'"", ""'physicalclass'"", ""'inv'"", ""'guard'"", ""'priorities'"", ""'''"", ""'after'"", ""'deadline'"", ""'@'"", ""'break'"", ""'case'"", ""'continue'"", ""'default'"", ""'else'"", ""'for'"", ""'goto'"", ""'if'"", ""'return'"", ""'switch'"", ""'while'"", ""'env'"", ""'featurevar'"", ""'import'"", ""'package'"", ""'private'"", ""'protected'"", ""'public'"", ""'record'"", ""'reactiveclass'"", ""'interface'"","
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaCompleteLexer.java	88	.java	local-message-server		"null, ""MODE"", ""PHYSICALCLASS"", ""INV"", ""GUARD"", ""PRIORITIES"", ""PRIME"","	"} private static final String[] _LITERAL_NAMES = makeLiteralNames(); private static String[] makeSymbolicNames() { return new String[] { null, ""MODE"", ""PHYSICALCLASS"", ""INV"", ""GUARD"", ""PRIORITIES"", ""PRIME"", ""AFTER"", ""DEADLINE"", ""MONKEYS_AT"", ""BREAK"", ""CASE"", ""CONTINUE"", ""DEFAULT"", ""ELSE"", ""FOR"", ""GOTO"", ""IF"", ""RETURN"", ""SWITCH"", ""WHILE"", ""ENV"", ""FEATUREVAR"", ""IMPORT"", ""PACKAGE"", ""PRIVATE"", ""PROTECTED"", ""PUBLIC"", ""RECORD"", ""REACTIVECLASS"", ""INTERFACE"", ""ABSTRACT"", ""EXTENDS"", ""IMPLEMENTS"", ""MSGSRV"", ""MAIN"", ""STATEVARS"","
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaCompleteLexer.tokens	5	.tokens	unresolved-priority		PRIORITIES=5	MODE=1 PHYSICALCLASS=2 INV=3 GUARD=4 PRIORITIES=5 PRIME=6 AFTER=7 DEADLINE=8 MONKEYS_AT=9
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaCompleteLexer.tokens	104	.tokens	unresolved-priority		'priorities'=5	'mode'=1 'physicalclass'=2 'inv'=3 'guard'=4 'priorities'=5 '\''=6 'after'=7 'deadline'=8 '@'=9
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaCompleteParser.java	25	.java	unresolved-priority		MODE=1, PHYSICALCLASS=2, INV=3, GUARD=4, PRIORITIES=5, PRIME=6, AFTER=7,	protected static final DFA[] _decisionToDFA; protected static final PredictionContextCache _sharedContextCache = new PredictionContextCache(); public static final int MODE=1, PHYSICALCLASS=2, INV=3, GUARD=4, PRIORITIES=5, PRIME=6, AFTER=7, DEADLINE=8, MONKEYS_AT=9, BREAK=10, CASE=11, CONTINUE=12, DEFAULT=13, ELSE=14, FOR=15, GOTO=16, IF=17, RETURN=18, SWITCH=19, WHILE=20, ENV=21, FEATUREVAR=22, IMPORT=23, PACKAGE=24, PRIVATE=25, PROTECTED=26, PUBLIC=27, RECORD=28, REACTIVECLASS=29, INTERFACE=30, ABSTRACT=31, EXTENDS=32, IMPLEMENTS=33,
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaCompleteParser.java	82	.java	unresolved-priority		"null, ""'mode'"", ""'physicalclass'"", ""'inv'"", ""'guard'"", ""'priorities'"","	"public static final String[] ruleNames = makeRuleNames(); private static String[] makeLiteralNames() { return new String[] { null, ""'mode'"", ""'physicalclass'"", ""'inv'"", ""'guard'"", ""'priorities'"", ""'''"", ""'after'"", ""'deadline'"", ""'@'"", ""'break'"", ""'case'"", ""'continue'"", ""'default'"", ""'else'"", ""'for'"", ""'goto'"", ""'if'"", ""'return'"", ""'switch'"", ""'while'"", ""'env'"", ""'featurevar'"", ""'import'"", ""'package'"", ""'private'"", ""'protected'"", ""'public'"", ""'record'"", ""'reactiveclass'"", ""'interface'"","
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/hybridrebeca/compiler/HybridRebecaCompleteParser.java	100	.java	local-message-server		"null, ""MODE"", ""PHYSICALCLASS"", ""INV"", ""GUARD"", ""PRIORITIES"", ""PRIME"","	"} private static final String[] _LITERAL_NAMES = makeLiteralNames(); private static String[] makeSymbolicNames() { return new String[] { null, ""MODE"", ""PHYSICALCLASS"", ""INV"", ""GUARD"", ""PRIORITIES"", ""PRIME"", ""AFTER"", ""DEADLINE"", ""MONKEYS_AT"", ""BREAK"", ""CASE"", ""CONTINUE"", ""DEFAULT"", ""ELSE"", ""FOR"", ""GOTO"", ""IF"", ""RETURN"", ""SWITCH"", ""WHILE"", ""ENV"", ""FEATUREVAR"", ""IMPORT"", ""PACKAGE"", ""PRIVATE"", ""PROTECTED"", ""PUBLIC"", ""RECORD"", ""REACTIVECLASS"", ""INTERFACE"", ""ABSTRACT"", ""EXTENDS"", ""IMPLEMENTS"", ""MSGSRV"", ""MAIN"", ""STATEVARS"","
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/timedrebeca/TimedRebecaCompleteCompilerFacade.java	163	.java	unresolved-priority		"""Conflict between local and global priority definitions"", annotation.getLineNumber(),"	"private boolean conflictInPriorityType(PriorityType newPriorityType, Annotation annotation) { if((newPriorityType == PriorityType.local && modelPriorityType == PriorityType.global) || (newPriorityType == PriorityType.global && modelPriorityType == PriorityType.local)) { CodeCompilationException cce = new CodeCompilationException( ""Conflict between local and global priority definitions"", annotation.getLineNumber(), annotation.getCharacter()); exceptionContainer.addException(cce); return true; }"
official-compiler	src/main/java/org/rebecalang/compiler/modelcompiler/timedrebeca/TimedRebecaCompleteCompilerFacade.java	184	.java	unresolved-priority		"""Priority value expressions must be constant expressions"", annotation.getLineNumber(),"	"private boolean checkIfTheValueOfPriorityAnnotationIsConstantExpression(Object expressionValue, Annotation annotation) { if(expressionValue == null) { CodeCompilationException cce = new CodeCompilationException( ""Priority value expressions must be constant expressions"", annotation.getLineNumber(), annotation.getCharacter()); exceptionContainer.addException(cce); return false; }"
