category	path	line	source_line	bypass_risk
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	6	namespace GlobalMultiStorePayloadActorPriorityBoundary	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	9	An actor-priority assignment supplied outside the published source and	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	12	abbrev ActorPriorityAssignment :=	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	16	`none` requests no actor-level priority policy.	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	18	A `some` value requests actor-priority metadata that is not represented by	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	21	abbrev ActorPriorityRequest :=	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	22	Option ActorPriorityAssignment	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	25	The source global model exposes no actor-priority metadata.	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	27	def sourceActorPriorityMetadata	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	29	ActorPriorityRequest :=	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	33	The target global program exposes no actor-priority metadata.	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	35	def targetActorPriorityMetadata	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	37	ActorPriorityRequest :=	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	41	theorem sourceActorPriorityMetadata_eq_none	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	43	sourceActorPriorityMetadata model = none := by	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	47	theorem targetActorPriorityMetadata_eq_none	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	49	targetActorPriorityMetadata program = none := by	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	53	The source and target actor-priority projections agree because both are	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	56	def ActorPriorityMetadataCorresponds	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	60	sourceActorPriorityMetadata model =	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	61	targetActorPriorityMetadata program	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	63	theorem actorPriorityMetadataCorresponds	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	66	ActorPriorityMetadataCorresponds model program := by	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	71	actor-priority request.	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	74	(request : ActorPriorityRequest) :	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	78	theorem noActorPriorityRequest_supported :	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	82	theorem explicitActorPriorityRequest_rejected	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	83	(assignment : ActorPriorityAssignment) :	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	90	The E4B actor-priority boundary combines metadata agreement with rejection	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	91	of any external actor-priority assignment.	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	96	(request : ActorPriorityRequest) :	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	98	ActorPriorityMetadataCorresponds model program ∧	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	104	(request : ActorPriorityRequest) :	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	109	ActorPriorityMetadataCorresponds,	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	111	sourceActorPriorityMetadata,	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	112	targetActorPriorityMetadata,	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	115	theorem boundary_without_actor_priority	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	125	theorem boundary_rejects_explicit_actor_priority	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	128	(assignment : ActorPriorityAssignment) :	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	138	translation. It is not reinterpreted as actor-level scheduling priority.	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	147	end GlobalMultiStorePayloadActorPriorityBoundary	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadDeclaredFragment.lean	30	The existing actor-local source priority-eligibility relation.	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadDeclaredFragment.lean	36	The existing actor-local target priority-eligibility relation.	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadDeclaredFragment.lean	195	Compilation preserves actor-local message-server priority definitionally.	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadDispatchCorrespondence.lean	6	pointwise through aligned actor stores. Actor selection, cross-actor priority,	enforcement-evidence
actor_priority	Relico/Correctness/GlobalMultiStorePayloadExternalSendCorrespondence.lean	221	state relation. It deliberately contains no global dispatch or actor-priority	enforcement-evidence
actor_priority	Relico/DTR/GlobalMultiStorePayloadExternalSend.lean	216	This function performs no dispatch, global event selection, actor-priority	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	1	import Relico.Correctness.GlobalMultiStorePayloadActorPriorityBoundary	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	5	namespace GlobalMultiStorePayloadActorPriorityBoundary	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	7	open Correctness.GlobalMultiStorePayloadActorPriorityBoundary	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	11	sourceActorPriorityMetadata model = none :=	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	12	sourceActorPriorityMetadata_eq_none model	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	16	targetActorPriorityMetadata program = none :=	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	17	targetActorPriorityMetadata_eq_none program	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	22	ActorPriorityMetadataCorresponds model program :=	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	23	actorPriorityMetadataCorresponds model program	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	27	noActorPriorityRequest_supported	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	30	(assignment : ActorPriorityAssignment) :	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	32	explicitActorPriorityRequest_rejected assignment	enforcement-evidence
actor_priority	Relico/Tests/GlobalMultiStorePayloadActorPriorityBoundary.lean	36	(some ([] : ActorPriorityAssignment)) :=	enforcement-evidence
