scope	benchmark_id	property_id	category	formula	expected	observed	match_status	states	transitions	runtime_seconds	memory_bytes	interpretation	metric_provenance
semantic-corpus	general--aircraftdoor-case-study--positive	aircraftdoor-door-monitor-no-violation	monitor-contract check	NoMonitorViolation = (m.violation == 0);	TRUE	TRUE	MATCH	NA	NA	NA	NA	No observed door value triggered the monitor violation latch; monitor activation is not established.	not retained in normalized snapshot
semantic-corpus	general--aircraftdoor-case-study--positive	aircraftdoor-door-open-witness	reachability witness	DoorNeverOpened = (door.doorOpen != 1);	FALSE	FALSE	MATCH	NA	NA	NA	NA	Counterexample reaches an observed open-door state.	not retained in normalized snapshot
semantic-corpus	general--alarm-case-study--positive	alarm-shutdown-failure-witness	negative witness	NoStopFailure = (chk.violation == 0);	FALSE	FALSE	MATCH	NA	NA	NA	NA	Counterexample witnesses the documented failed shutdown and checker violation.	not retained in normalized snapshot
semantic-corpus	general--arbitrary-rebec-ordering--positive	arbitrary-rebec-acknowledgement-bound-invariant	safety invariant	ResolutionBounded = (sender1.resolved >= 0) && (sender1.resolved < 4);	TRUE	TRUE	MATCH	NA	NA	NA	NA	Acknowledgement count remains within one four-receiver round before re-arming.	not retained in normalized snapshot
semantic-corpus	general--aspin-case-study--positive	aspin-packet-receipt-witness	reachability witness	PacketNeverDelivered = (r23.recieved == 0);	FALSE	FALSE	MATCH	NA	NA	NA	NA	Counterexample reaches a positive receipt count at r23; packet identity, route, and deadline outcome are not established.	not retained in normalized snapshot
semantic-corpus	general--autonomousvehicles-case-study--positive	autonomousvehicles-completion-coherence-invariant	safety invariant	CompletionCoherent = ((ds.allVehiclesReached == false) || ((ds.vehicle1Reached == true) && (ds.vehicle2Reached == true))) && ((ds.vehicle1Reached == false) || (ds.vehicle2Reached == false) || (ds.allVehiclesReached == true));	TRUE	TRUE	MATCH	NA	NA	NA	NA	Aggregate and per-vehicle completion latches agree when set; completion reachability is not established.	not retained in normalized snapshot
semantic-corpus	general--checkpointbarrier2-case-study--positive	checkpointbarrier2-coordination-bounds-invariant	safety invariant	CoordinationBounded = (coord.epoch >= 0) && (coord.epoch <= 8) && (coord.seen >= 0) && (coord.seen <= 2) && (coord.violation == 0);	TRUE	TRUE	MATCH	NA	NA	NA	NA	Epoch and arrival counts remain within configured bounds without a coordination violation.	not retained in normalized snapshot
semantic-corpus	general--checkpointbarrier2-case-study--positive	checkpointbarrier2-final-barrier-witness	reachability witness	FinalBarrierNeverCompletes = (coord.epoch != 8) || (coord.seen != 2);	FALSE	FALSE	MATCH	NA	NA	NA	NA	Counterexample reaches two arrivals at the eighth barrier epoch.	not retained in normalized snapshot
semantic-corpus	general--factorial-case-study--positive	factorial-result-monitor-no-violation	monitor-contract check	CorrectResult = (chk.violation == 0);	TRUE	TRUE	MATCH	NA	NA	NA	NA	Monitor never observes a result other than 24; result delivery is not independently established.	not retained in normalized snapshot
semantic-corpus	general--fibonacci-case-study--positive	fibonacci-result-monitor-no-violation	monitor-contract check	CorrectResult = (chk.violation == 0);	TRUE	TRUE	MATCH	NA	NA	NA	NA	Monitor never observes a result other than 89; result delivery is not independently established.	not retained in normalized snapshot
semantic-corpus	general--leasingnrpfd-case-study--positive	leasingnrpfd-primary-identity-invariant	safety invariant	PrimaryIdentityValid = ((DCN1.nodeMode != 1) || (DCN1.primary == DCN1.id)) && ((DCN2.nodeMode != 1) || (DCN2.primary == DCN2.id));	TRUE	TRUE	MATCH	NA	NA	NA	NA	Each observed network in primary mode stores its own identifier as primary.	not retained in normalized snapshot
semantic-corpus	general--leasingnrpfd-case-study--positive	leasingnrpfd-failed-switch-isolation-invariant	safety invariant	FailedSwitchesNotNRP = ((switchA1.failed == false) || (switchA1.amINRP == false)) && ((switchA2.failed == false) || (switchA2.amINRP == false)) && ((switchB1.failed == false) || (switchB1.amINRP == false)) && ((switchB2.failed == false) || (switchB2.amINRP == false));	TRUE	TRUE	MATCH	NA	NA	NA	NA	A failed switch is never simultaneously selected as an NRP.	not retained in normalized snapshot
