feature_id	family	layer	polarity	test_module	test_value	status
core.frontend.expression.int-literal	core	frontend-decoder	positive	Relico/Tests/FrontendDecoder.lean	core.frontend.expression.int-literal	implemented
core.frontend.expression.negative-int-literal	core	frontend-decoder	positive	Relico/Tests/FrontendDecoder.lean	core.frontend.expression.negative-int-literal	implemented
core.frontend.expression.state-var	core	frontend-decoder	positive	Relico/Tests/FrontendDecoder.lean	core.frontend.expression.state-var	implemented
core.frontend.expression.missing-value	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.expression.missing-value	implemented
core.frontend.expression.missing-name	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.expression.missing-name	implemented
core.frontend.expression.name-mismatch	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.expression.name-mismatch	implemented
core.frontend.expression.unsupported	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.expression.unsupported	implemented
core.frontend.statement.assign	core	frontend-decoder	positive	Relico/Tests/FrontendDecoder.lean	core.frontend.statement.assign	implemented
core.frontend.statement.self-send	core	frontend-decoder	positive	Relico/Tests/FrontendDecoder.lean	core.frontend.statement.self-send	implemented
core.frontend.statement.self-send.zero-delay	core	frontend-decoder	positive	Relico/Tests/FrontendDecoder.lean	core.frontend.statement.self-send.zero-delay	implemented
core.frontend.statement.missing-target	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.statement.missing-target	implemented
core.frontend.statement.target-mismatch	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.statement.target-mismatch	implemented
core.frontend.statement.missing-expression	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.statement.missing-expression	implemented
core.frontend.statement.assign.nested-expression-error	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.statement.assign.nested-expression-error	implemented
core.frontend.statement.missing-message	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.statement.missing-message	implemented
core.frontend.statement.message-mismatch	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.statement.message-mismatch	implemented
core.frontend.statement.missing-delay	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.statement.missing-delay	implemented
core.frontend.statement.unsupported	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.statement.unsupported	implemented
core.frontend.model.schema-version	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.model.schema-version	implemented
core.frontend.model.empty-class-name	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.model.empty-class-name	implemented
core.frontend.model.empty-actor-name	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.model.empty-actor-name	implemented
core.frontend.model.empty-actor-class	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.model.empty-actor-class	implemented
core.frontend.model.empty-state-var	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.model.empty-state-var	implemented
core.frontend.model.empty-message-server	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.model.empty-message-server	implemented
core.frontend.model.actor-class-mismatch	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.model.actor-class-mismatch	implemented
core.frontend.model.message-server-body-error	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.model.message-server-body-error	implemented
core.frontend.json.valid-model	core	frontend-decoder	positive	Relico/Tests/FrontendDecoder.lean	core.frontend.json.valid-model	implemented
core.frontend.json.semantic-schema-version	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.json.semantic-schema-version	implemented
core.frontend.json.malformed	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.json.malformed	implemented
core.frontend.json.wrong-root	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.json.wrong-root	implemented
core.frontend.json.missing-fields	core	frontend-decoder	negative	Relico/Tests/FrontendDecoder.lean	core.frontend.json.missing-fields	implemented
core.translation.expression.int-literal	core	translation	positive	Relico/Tests/Translation.lean	core.translation.expression.int-literal	implemented
core.translation.expression.state-var	core	translation	positive	Relico/Tests/Translation.lean	core.translation.expression.state-var	implemented
core.translation.statement.assign	core	translation	positive	Relico/Tests/Translation.lean	core.translation.statement.assign	implemented
core.translation.statement.self-send	core	translation	positive	Relico/Tests/Translation.lean	core.translation.statement.self-send	implemented
core.translation.statement.self-send.zero-delay	core	translation	positive	Relico/Tests/Translation.lean	core.translation.statement.self-send.zero-delay	implemented
core.translation.reaction.startup	core	translation	positive	Relico/Tests/Translation.lean	core.translation.reaction.startup	implemented
core.translation.reaction.message-server	core	translation	positive	Relico/Tests/Translation.lean	core.translation.reaction.message-server	implemented
core.translation.instance	core	translation	positive	Relico/Tests/Translation.lean	core.translation.instance	implemented
core.translation.body.mixed-order	core	translation	positive	Relico/Tests/Translation.lean	core.translation.body.mixed-order	implemented
core.translation.body.empty	core	translation	positive	Relico/Tests/Translation.lean	core.translation.body.empty	implemented
core.translation.api.exact-program	core	translation	positive	Relico/Tests/Translation.lean	core.translation.api.exact-program	implemented
general.frontend.main-actor-priority	general	parser-boundary	negative	tests/translator/general--main-actor-priority--negative/run-test.sh	fixture::general--main-actor-priority--negative	implemented
general.frontend.reference.undeclared	general	general-elaborator	negative	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.frontend.reference.undeclared	implemented
general.frontend.parameter.duplicate	general	general-elaborator	negative	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.frontend.parameter.duplicate	implemented
general.frontend.precedence.operator-before-operands	general	general-elaborator	negative	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.frontend.precedence.operator-before-operands	implemented
general.frontend.precedence.target-before-arguments-delay	general	general-elaborator	negative	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.frontend.precedence.target-before-arguments-delay	implemented
general.frontend.delay.non-constant	general	general-elaborator	negative	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.frontend.delay.non-constant	implemented
general.frontend.send.payload-arity	general	general-decoder	negative	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.frontend.send.payload-arity	implemented
general.frontend.constructor-argument-arity	general	general-decoder	negative	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.frontend.constructor-argument-arity	implemented
general.frontend.statement.iteration	general	general-elaborator	negative	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.frontend.statement.iteration	implemented
general.frontend.scope.local-threading	general	general-elaborator	positive	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.frontend.scope.local-threading	implemented
general.frontend.precedence.local-shadow-before-type-value	general	general-elaborator	negative	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.frontend.precedence.local-shadow-before-type-value	implemented
general.frontend.send-target.self	general	general-elaborator	positive	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.frontend.send-target.self	implemented
general.routing.external-zero-arity-refusal	general	general-routing	negative	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.routing.external-zero-arity-refusal	implemented
general.routing.generated-port-collision	general	general-routing	negative	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.routing.generated-port-collision	implemented
general.translation.statement.conditional	general	general-translation	positive	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.translation.statement.conditional	implemented
general.translation.statement.local-declaration	general	general-translation	positive	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.translation.statement.local-declaration	implemented
general.translation.statement.self-send	general	general-translation	positive	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.translation.statement.self-send	implemented
general.translation.statement.external-send	general	general-translation	positive	frontend/lean-bridge/GeneralFocusedTestMain.lean	general.translation.statement.external-send	implemented
