category	path	line	matched_terms	excerpt	phase1_use
other	.github/workflows/lean_action_ci.yml	6	dispatch	workflow_dispatch:	candidate evidence only; semantic classification requires Phase 2 inspection
documentation-or-registry	README.md	13	message server	- one constructor and one message server;	candidate evidence only; semantic classification requires Phase 2 inspection
documentation-or-registry	README.md	55	correspondence	5. forward and backward statement correspondence;	candidate evidence only; semantic classification requires Phase 2 inspection
documentation-or-registry	README.md	56	correspondence|trace	6. finite statement-trace correspondence;	candidate evidence only; semantic classification requires Phase 2 inspection
documentation-or-registry	README.md	57	correspondence	7. occurrence-preserving message/action queue correspondence;	candidate evidence only; semantic classification requires Phase 2 inspection
documentation-or-registry	README.md	58	scheduling	8. DTR minimum-logical-time scheduling;	candidate evidence only; semantic classification requires Phase 2 inspection
documentation-or-registry	README.md	59	scheduling	9. LF lexicographic tag scheduling;	candidate evidence only; semantic classification requires Phase 2 inspection
documentation-or-registry	README.md	60	dispatch|correspondence	10. conditional forward dispatch correspondence;	candidate evidence only; semantic classification requires Phase 2 inspection
documentation-or-registry	README.md	61	dispatch|correspondence	11. unconditional backward dispatch correspondence under the declared runtime invariants;	candidate evidence only; semantic classification requires Phase 2 inspection
documentation-or-registry	README.md	62	dispatch	12. combined statement-and-dispatch machine semantics;	candidate evidence only; semantic classification requires Phase 2 inspection
documentation-or-registry	README.md	64	correspondence|trace	14. conditional finite forward machine-trace correspondence;	candidate evidence only; semantic classification requires Phase 2 inspection
documentation-or-registry	README.md	65	correspondence|trace	15. unconditional finite backward machine-trace correspondence;	candidate evidence only; semantic classification requires Phase 2 inspection
documentation-or-registry	README.md	71	correspondence	The original singleton theorem stack additionally establishes constructor/startup initial-state correspondence.	candidate evidence only; semantic classification requires Phase 2 inspection
documentation-or-registry	README.md	73	dispatch|correspondence	Forward dispatch correspondence is conditional because LF microsteps may refine equal-logical-time choices that remain unresolved in the DTR semantics. The development does not claim that all permitted equal-time source schedules are observationally equivalent.	candidate evidence only; semantic classification requires Phase 2 inspection
documentation-or-registry	README.md	135	correspondence	→ declared operational-semantics correspondence	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	14	trace	import Relico.DTR.TraceSemantics	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	16	scheduling	import Relico.DTR.Scheduling	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	17	dispatch	import Relico.DTR.DispatchSemantics	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	19	trace	import Relico.DTR.MachineTraceSemantics	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	27	trace	import Relico.LF.TraceSemantics	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	29	scheduling	import Relico.LF.Scheduling	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	30	dispatch	import Relico.LF.DispatchSemantics	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	32	trace	import Relico.LF.MachineTraceSemantics	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	40	correspondence	import Relico.Correctness.Correspondence	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	41	dispatch	import Relico.Correctness.Dispatch	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	42	dispatch	import Relico.Correctness.DispatchForward	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	45	trace	import Relico.Correctness.MachineTrace	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	46	trace	import Relico.Correctness.MachineTraceForward	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	51	dispatch	import Relico.Correctness.DispatchInvariant	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	54	trace	import Relico.Correctness.Trace	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	62	correspondence	import Relico.Tests.Correspondence	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	67	trace	import Relico.Tests.TraceSimulation	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	69	scheduling	import Relico.Tests.Scheduling	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	70	dispatch	import Relico.Tests.DispatchSemantics	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	71	dispatch	import Relico.Tests.DispatchCorrectness	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	72	dispatch	import Relico.Tests.DispatchForward	candidate evidence only; semantic classification requires Phase 2 inspection
lean	Relico.lean	76	trace	import Relico.Tests.MachineTrace	candidate evidence only; semantic classification requires Phase 2 inspection
