category	path	state	role	proposed_action	evidence
lean-boundary	Relico/Correctness/GlobalMultiStorePayloadActorPriorityBoundary.lean	existing	Defines actor-priority request and current supported-fragment boundary.	Preserve request = none boundary; add only missing named theorem/test contracts.	Required boundary terms and general some-assignment rejection evidence found.
lean-declared-fragment	Relico/Correctness/GlobalMultiStorePayloadDeclaredFragment.lean	existing	Declares the modeled global fragment.	Connect the actor-priority boundary to the declared fragment without enlarging semantics.	Current correspondence classification is no-actor-priority.
lean-one-step-proof	Relico/Correctness/GlobalMultiStorePayloadOneStepCorrespondence.lean	existing	Current one-step correspondence theorem.	Retain proof architecture; add explicit fragment hypothesis or wrapper theorem only if mechanically required.	Actor selection is externally indexed in the current semantics.
lean-finite-proof	Relico/Correctness/GlobalMultiStorePayloadFiniteExecutionCorrespondence.lean	existing	Current finite-execution correspondence theorem.	Verify exclusion-boundary integration does not alter finite-execution semantics.	Approach A is intended to preserve theorem structure.
frontend-wrapper	frontend/java-bridge/run-multistore-payload-from-zip.sh	existing	Production parser/JSON bridge entrypoint.	Preserve actor-priority rejection and stabilize the externally tested diagnostic contract.	Phase 2B2B observed rejection before JSON emission.
frontend-wrapper	frontend/java-bridge/run-multistore-from-zip.sh	existing	Production parser/JSON bridge entrypoint.	Preserve actor-priority rejection and stabilize the externally tested diagnostic contract.	Phase 2B2B observed rejection before JSON emission.
benchmark-registry	tests/benchmarks/registry/benchmarks.tsv	existing	Canonical benchmark obligation registry.	Change only the target benchmark status after its permanent negative test passes.	Target registry row found: global-multi-actor-payload--priority-selection--negative.
benchmark-template	tests/benchmarks/core--initialization--positive/manifest.json	existing	Accepted benchmark manifest schema.	Use as the structural baseline while applying the resolved negative-expectation contract.	Template manifest parsed successfully.
benchmark-template-source	tests/benchmarks/core--initialization--positive/source/model.rebeca	existing	Accepted source-model directory convention.	Do not modify; use only as a structural control.	Accepted tracked benchmark control.
approach-a-negative-benchmark	tests/benchmarks/global-multi-actor-payload--priority-selection--negative	absent	Permanent actor-priority exclusion benchmark.	Create source, manifest, expected diagnostic, and artifact-absence oracle using the actual harness schema.	Phase 2B2B actor-priority parser probe.
benchmark-harness	tests/benchmarks/README.md	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/core--initialization--positive/README.md	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/core--initialization--positive/coverage.json	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/core--initialization--positive/expected/formal-witness/result.json	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/core--initialization--positive/expected/runtime/result.json	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/core--initialization--positive/expected/source/result.json	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/core--initialization--positive/manifest.json	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
benchmark-harness	tests/benchmarks/registry/PROVENANCE.md	existing	Candidate benchmark execution or manifest contract.	Modify only if the current schema cannot express negative parser expectations.	Harness keyword audit.
