artifact_path	entry_type	line_or_entry	main_class	class_path	content
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	1			# ReLico: Timed Rebeca to Lingua Franca Compiler
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	3			ReLico is a compiler from **Timed Rebeca** to **Lingua Franca (LF)**.
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	5			This repository accompanies the ReLico work on bridging **formally verified Timed Rebeca models** to **executable Lingua Franca programs**. Its purpose is to reduce the gap between formal verification and deployment by automatically translating verified models into a deterministic, time-aware execution framework.
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	15			| Core translator | `src/`, `benchmarks/` | Timed Rebeca to Lingua Franca translation | Docker smoke test |
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	39			- the ReLico compiler processes the `.rebeca` models under `benchmarks/`,
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	57			The Docker smoke test lets reviewers run the core artifact without manually installing Java or Maven.
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	90			This path runs the translator directly on the host machine. It requires Java 17+ and Maven.
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	94			mvn org.codehaus.mojo:exec-maven-plugin:3.1.0:java \
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	95			"-Dexec.mainClass=""org.rebecalang.compiler.RebecaCompilerMain"""
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	102			- the compiler processes the `.rebeca` files under `benchmarks/`,
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	109			- `AircraftDoor` through the Timed Rebeca/RMC workflow,
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	125			https://github.com/rebeca-lang/org.rebecalang.rmc/releases/download/2.14/rmc-2.14.jar
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	219			Main Java compiler implementation.
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	221			- `src/main/java/org/rebecalang/compiler/RebecaCompilerMain.java`
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	224			- `src/main/java/org/rebecalang/compiler/modelcompiler/linguafranca/`
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	225			Timed Rebeca to Lingua Franca translation logic.
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	228			Example Timed Rebeca input models.
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	248			- Java Development Kit 17 or later.
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	256			- Java and Javac
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	294			- Java 21.0.1
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	324			- Timed Rebeca/RMC verifier smoke test,
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	358			- Timed Rebeca/RMC verifier smoke test,
ReLico-fmcad-2026-artifact-v1/README.md	text-command-or-build-metadata	372			Timed Rebeca is an actor-based language for modeling and verifying concurrent and real-time systems. Lingua Franca is a deterministic coordination language based on the reactor model. ReLico translates a deterministic subset of Timed Rebeca into Lingua Franca while preserving the timing and scheduling structure needed for execution and analysis.
