path	line	semantic_level	containing_declaration	source_line	context
src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedActorState.java	34	unresolved-priority		protected int priority = Integer.MAX_VALUE;	private PriorityQueue<TimedPriorityQueueItem<TimedMessageSpecification>> queue; public void removeCustomMsgFromQueue(TimedMessageSpecification timedMessageSpecification) { queue.removeIf(timedPriorityQueueItem -> timedPriorityQueueItem.getItem().equals(timedMessageSpecification)); } protected int priority = Integer.MAX_VALUE; public void setFTTS(boolean isFTTS) { this.isFTTS = isFTTS; } public boolean isFTTS() {
src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedActorState.java	48	unresolved-priority		public void setPriority(int priority) {	} public int getPriority() { return priority; } public void setPriority(int priority) { this.priority = priority; } public void setSchedulingPolicy(SchedulingPolicy schedulingPolicy) { this.schedulingPolicy = schedulingPolicy; }
src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedActorState.java	49	unresolved-priority		this.priority = priority;	public int getPriority() { return priority; } public void setPriority(int priority) { this.priority = priority; } public void setSchedulingPolicy(SchedulingPolicy schedulingPolicy) { this.schedulingPolicy = schedulingPolicy; }
src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	16	unresolved-priority	class TimedMessageSpecification	protected int priority = Integer.MAX_VALUE;	"@SuppressWarnings(""serial"") public class TimedMessageSpecification extends MessageSpecification { private int minStartTime; private int maxStartTime; private int period; private int relativeDeadline; protected int priority = Integer.MAX_VALUE; public TimedMessageSpecification( String messageName, int priority, Map<String, Object> parameters, BaseActorState<?> baseActorState,"
src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	20	unresolved-priority		int priority,	private int period; private int relativeDeadline; protected int priority = Integer.MAX_VALUE; public TimedMessageSpecification( String messageName, int priority, Map<String, Object> parameters, BaseActorState<?> baseActorState, int minStartTime, int maxStartTime, int relativeDeadline, int period) {
src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	31	unresolved-priority		this.priority = priority;	int relativeDeadline, int period) { super(messageName, parameters, baseActorState); this.maxStartTime = maxStartTime; this.minStartTime = minStartTime; this.period = period; this.priority = priority; this.relativeDeadline = relativeDeadline; } @Override public int hashCode() { final int prime = 31;
src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	86	unresolved-priority		public void setPriority(int priority) {	"} public int getPriority() { return priority; } public void setPriority(int priority) { this.priority = priority; } public void export(PrintStream output) { output.print(""<message sender=\"""" + senderActorState.getName() + ""\"" arrival=\"""" + minStartTime + ""\"""" +"
src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedMessageSpecification.java	87	unresolved-priority		this.priority = priority;	"public int getPriority() { return priority; } public void setPriority(int priority) { this.priority = priority; } public void export(PrintStream output) { output.print(""<message sender=\"""" + senderActorState.getName() + ""\"" arrival=\"""" + minStartTime + ""\"""" + "" deadline=\"""" + maxStartTime + ""\"">"");"
src/main/java/org/rebecalang/modelchecker/timedrebeca/TimedRebecaModelChecker.java	142	unresolved-priority		"if(!annotations.isEmpty() && !(Objects.requireNonNull(priorityStr = getAnnotation(annotations, ""priority""))).isEmpty()) {"	"protected TimedActorState setPriority(RebecaModel rebecaModel, TimedActorState timedActorState) { for (ReactiveClassDeclaration reactiveClassDeclaration : rebecaModel.getRebecaCode().getReactiveClassDeclaration()) { if (!reactiveClassDeclaration.getName().equals(timedActorState.getTypeName())) continue; List<Annotation> annotations = reactiveClassDeclaration.getAnnotations(); String priorityStr; if(!annotations.isEmpty() && !(Objects.requireNonNull(priorityStr = getAnnotation(annotations, ""priority""))).isEmpty()) { timedActorState.setPriority(Integer.parseInt(priorityStr)); } } return timedActorState; }"
src/main/java/org/rebecalang/modelchecker/timedrebeca/rilinterpreter/TimedMsgsrvCallInstructionInterpreter.java	62	local-message-server		int priority = Integer.MAX_VALUE;	} } else { deadline = (int) tmcib.getDeadline(); } int period = Integer.MAX_VALUE; int priority = Integer.MAX_VALUE; TimedActorState receiverActorState = (TimedActorState) baseActorState.retrieveVariableValue(tmcib.getBase()); for (ReactiveClassDeclaration reactiveClassDeclaration : rebecaModel.getRebecaCode().getReactiveClassDeclaration()) { if (reactiveClassDeclaration.getName().equals(receiverActorState.getTypeName())) { for (MsgsrvDeclaration msgsrv : reactiveClassDeclaration.getMsgsrvs()) {
src/main/java/org/rebecalang/modelchecker/timedrebeca/rilinterpreter/TimedMsgsrvCallInstructionInterpreter.java	95	unresolved-priority		tmcib.getMethodName(), priority, parameters, baseActorState, after, absoluteDeadline, deadline, period);	int absoluteDeadline = deadline; if (deadline != Integer.MAX_VALUE) { absoluteDeadline = deadline+currentTime; } TimedMessageSpecification msgSpec = new TimedMessageSpecification( tmcib.getMethodName(), priority, parameters, baseActorState, after, absoluteDeadline, deadline, period); receiverActorState.addToQueue(msgSpec); baseActorState.increasePC(); } }
src/main/java/org/rebecalang/modelchecker/timedrebeca/utils/SchedulingPolicy.java	24	unresolved-priority		"case ""PRIORITY"" -> SCHEDULING_ALGORITHM_PRIORITY;"	"public static SchedulingPolicy getSchedulingPolicy(String input) throws ModelCheckingException { return switch (input.toUpperCase()) { case ""FIFO"" -> SCHEDULING_ALGORITHM_FIFO; case ""EDF"" -> SCHEDULING_ALGORITHM_EDF; case ""RMS"" -> SCHEDULING_ALGORITHM_RMS; case ""DMS"" -> SCHEDULING_ALGORITHM_DMS; case ""PRIORITY"" -> SCHEDULING_ALGORITHM_PRIORITY; default -> throw new ModelCheckingException(""Unknown scheduling policy "" + input); }; } public static boolean compare(SchedulingPolicy schedulingPolicy, TimedMessageSpecification first, TimedMessageSpecification second, String operator) {"
src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	37	unresolved-priority		int priority = getPriority(state, actorsIds);	public Transition<AbstractSystemState> applyRule(AbstractSystemState base, AbstractSystemState state, Object... additional) throws RuleIsDisabledException { Transition<AbstractSystemState> transitions = new Transition<AbstractSystemState>(); Set<Integer> actorsIds = base.getActorsIds(); int priority = getPriority(state, actorsIds); boolean firstRound = true; for(Iterator<Integer> iterator = actorsIds.iterator(); iterator.hasNext();) { Integer actorId = iterator.next(); AbstractActorState baseActorState = base.getActorState(actorId); if(!executeStatementSOSRule.isEnabled(baseActorState) || baseActorState.getPriority() > priority)
src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	43	unresolved-priority		baseActorState.getPriority() > priority)	int priority = getPriority(state, actorsIds); boolean firstRound = true; for(Iterator<Integer> iterator = actorsIds.iterator(); iterator.hasNext();) { Integer actorId = iterator.next(); AbstractActorState baseActorState = base.getActorState(actorId); if(!executeStatementSOSRule.isEnabled(baseActorState) || baseActorState.getPriority() > priority) continue; if(!firstRound) state = base.clone(); firstRound = false;
src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	81	unresolved-priority		int priority = Integer.MAX_VALUE;	if(transitions.isEmpty()) throw new RuleIsDisabledException(); return transitions; } private int getPriority(AbstractSystemState state, Set<Integer> actorsIds) { int priority = Integer.MAX_VALUE; for(Integer actorId : actorsIds) { AbstractActorState actorState = state.getActorState(actorId); if(executeStatementSOSRule.isEnabled(actorState)) priority = Math.min(priority, actorState.getPriority()); } return priority;
src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	85	unresolved-priority		priority = Math.min(priority, actorState.getPriority());	private int getPriority(AbstractSystemState state, Set<Integer> actorsIds) { int priority = Integer.MAX_VALUE; for(Integer actorId : actorsIds) { AbstractActorState actorState = state.getActorState(actorId); if(executeStatementSOSRule.isEnabled(actorState)) priority = Math.min(priority, actorState.getPriority()); } return priority; } private boolean isSendMessageTransition(Transition<AbstractActorState> transition) { List<Action> actions = transition.getDestinationsActions();
src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelExecuteStatementRule.java	87	unresolved-priority		return priority;	int priority = Integer.MAX_VALUE; for(Integer actorId : actorsIds) { AbstractActorState actorState = state.getActorState(actorId); if(executeStatementSOSRule.isEnabled(actorState)) priority = Math.min(priority, actorState.getPriority()); } return priority; } private boolean isSendMessageTransition(Transition<AbstractActorState> transition) { List<Action> actions = transition.getDestinationsActions(); if(actions.size() != 1) return false;
src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	33	unresolved-priority		protected int priority;	public transient final static Integer MIN_PRIORITY = Integer.MAX_VALUE - 1; public transient final static int NO_ACTOR_ID = -1; protected transient RILModel rilModel; protected int id; protected int priority; protected ActorScope scope; private static Logger logger = LogManager.getRootLogger(); public AbstractActorState(int id) { this.id = id;
src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	40	unresolved-priority		this.priority = MIN_PRIORITY;	protected ActorScope scope; private static Logger logger = LogManager.getRootLogger(); public AbstractActorState(int id) { this.id = id; this.priority = MIN_PRIORITY; scope = getNewActorScope(); } public int getId() { return id; }
src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	203	unresolved-priority		if (priority != other.priority)	return false; if (getClass() != obj.getClass()) return false; AbstractActorState other = (AbstractActorState) obj; if (id != other.id) return false; if (priority != other.priority) return false; if (scope == null) { if (other.scope != null) return false; } else if (!scope.equals(other.scope)) return false;
src/main/java/org/rebecalang/transparentactormodelchecker/corerebeca/transitionsystem/state/CoreRebecaActorState.java	94	actor-or-global-candidate		clonedState.priority = this.priority;	CoreRebecaActorState actor = (CoreRebecaActorState) CloningRepository.getActor(this.id); if(actor != null) return actor; CoreRebecaActorState clonedState = new CoreRebecaActorState(this.id); CloningRepository.addActor(clonedState); clonedState.queue = CloningRepository.cloneArrayList(this.queue); clonedState.priority = this.priority; clonedState.rilModel = this.rilModel; clonedState.scope = this.scope.clone(); return clonedState; } public boolean messageQueueIsEmpty() {
